activity_id,date,start_time,name,type,duration_min,distance_km,avg_hr,max_hr,calories,avg_power,norm_power,training_load,aerobic_te,anaerobic_te,elevation_gain_m,avg_speed_kmh
23281166368,2026-06-17,2026-06-17 18:14:02,Quan 10 Cycling,cycling,5.9,1.49,121.0,130.0,39.0,,,10.626144409179688,0.800000011920929,0.0,0.0,15.28
23395880468,2026-06-17,2026-06-17 05:32:34,Morning Ride,cycling,94.4,33.33,139.0,177.0,393.0,73.5808615819209,148.4364876577224,,,,313.14976927638054,21.19
23275794466,2026-06-17,2026-06-17 05:15:12,Meditation,meditation,10.0,,72.0,105.0,,,,0.3310699462890625,0.0,0.0,,
23275720168,2026-06-17,2026-06-17 04:59:07,Relax and Focus,breathwork,15.6,,84.0,115.0,,,,1.2264404296875,0.10000000149011612,0.0,,
23289220432,2026-06-18,2026-06-18 07:49:48,Meditation,meditation,10.0,,62.0,71.0,,,,0.0,0.0,0.0,,
23289165718,2026-06-18,2026-06-18 07:33:40,Relax and Focus,breathwork,15.6,,76.0,109.0,,,,1.250701904296875,0.10000000149011612,0.0,,
23305936141,2026-06-19,2026-06-19 20:08:22,Quan 10 Cycling,cycling,4.5,1.32,139.0,150.0,38.0,,,17.140884399414062,1.2999999523162842,0.0,0.0,17.42
23305833616,2026-06-19,2026-06-19 18:54:00,Back New,strength_training,68.4,,125.0,155.0,376.0,,,74.18536376953125,2.5,1.7999999523162842,,
23305060613,2026-06-19,2026-06-19 18:39:14,Quan 10 Cycling,cycling,4.6,1.51,135.0,152.0,38.0,,,17.151031494140625,1.2999999523162842,0.0,1.0,19.46
23395878983,2026-06-19,2026-06-19 05:14:19,Morning Ride,cycling,61.6,20.56,114.0,127.0,194.0,53.81412337662338,63.416312967100346,,,,147.0614052414894,20.03
23299784165,2026-06-19,2026-06-19 04:51:34,Meditation,meditation,10.0,,56.0,76.0,,,,0.0,0.0,0.0,,
23299783856,2026-06-19,2026-06-19 04:35:35,Relax and Focus,breathwork,15.6,,61.0,100.0,,,,0.0764617919921875,0.0,0.0,,
23315153954,2026-06-20,2026-06-20 15:56:13,Quan 10 Road Cycling,road_biking,55.0,20.53,131.0,144.0,309.0,75.0,75.0,56.25321960449219,2.5999999046325684,0.0,29.0,22.4
23311693746,2026-06-20,2026-06-20 07:42:15,Zwift - Easy Hour,virtual_ride,60.5,21.27,136.0,146.0,310.0,89.0,90.01690064612265,58.81303405761719,2.5999999046325684,0.0,218.0,21.08
23311133838,2026-06-20,2026-06-20 06:39:09,Meditation,meditation,10.0,,61.0,78.0,,,,0.0,0.0,0.0,,
23311131839,2026-06-20,2026-06-20 06:23:11,Relax and Focus,breathwork,15.6,,62.0,98.0,,,,0.083343505859375,0.0,0.0,,
23329119804,2026-06-21,2026-06-21 20:11:11,Meditation,meditation,10.0,,80.0,102.0,,,,0.1787567138671875,0.0,0.0,,
23328952029,2026-06-21,2026-06-21 19:54:41,Relax and Focus,breathwork,15.6,,85.0,100.0,,,,1.7277984619140625,0.10000000149011612,0.0,,
23328657077,2026-06-21,2026-06-21 18:58:34,Quan 10 Road Cycling,road_biking,41.9,12.74,125.0,132.0,170.0,48.0,48.0,23.224212646484375,1.7000000476837158,0.0,8.0,18.23
23323633017,2026-06-21,2026-06-21 04:30:33,Quan 10 Road Cycling,road_biking,246.7,86.63,148.0,176.0,1954.0,,,377.45318603515625,5.0,1.600000023841858,222.0,21.07
23334482132,2026-06-22,2026-06-22 08:00:49,Meditation,meditation,10.0,,69.0,78.0,,,,0.0,0.0,0.0,,
23334445957,2026-06-22,2026-06-22 07:44:34,Relax and Focus,breathwork,15.6,,76.0,102.0,,,,0.58197021484375,0.0,0.0,,
23351028478,2026-06-23,2026-06-23 19:02:33,Huyen Binh Chanh Cycling,cycling,18.1,6.3,122.0,149.0,70.0,49.0,60.0,18.635330200195312,1.2000000476837158,0.10000000149011612,19.0,20.83
23350227376,2026-06-23,2026-06-23 17:51:29,Quan 10 Cycling,cycling,20.0,6.49,116.0,139.0,100.0,66.0,84.0,28.646469116210938,1.5,0.6000000238418579,8.0,19.46
23344886871,2026-06-23,2026-06-23 05:00:50,Meditation,meditation,10.0,,66.0,81.0,,,,0.0,0.0,0.0,,
23344886542,2026-06-23,2026-06-23 04:44:51,Relax and Focus,breathwork,15.6,,69.0,99.0,,,,0.1176910400390625,0.0,0.0,,
23364508154,2026-06-24,2026-06-24 20:25:07,Quan 10 - Base,road_biking,58.5,24.32,132.0,147.0,355.0,83.0,83.0,68.6888427734375,2.799999952316284,0.0,15.0,24.93
